Date,restingHeartRate,lastSevenDaysAvgRestingHeartRate,totalSteps
2024-10-18,67.0,68.0,4176.0
2024-10-19,71.0,67.0,7202.0
2024-10-20,71.0,68.0,20756.0
2024-10-21,68.0,68.0,6632.0
2024-10-22,64.0,67.0,5268.0
2024-10-23,68.0,68.0,13378.0
2024-10-24,69.0,68.0,6578.0
2024-10-25,66.0,68.0,15348.0
2024-10-26,71.0,68.0,11382.0
2024-10-27,72.0,68.0,5460.0
2024-10-28,68.0,68.0,16132.0
2024-10-29,72.0,0.0,16602.0
2024-10-30,72.0,0.0,15872.0
2024-10-31,72.0,0.0,17384.0
2024-11-01,72.0,0.0,15210.0
2024-11-02,72.0,0.0,19176.0
2024-11-03,72.0,0.0,17680.0
2024-11-04,72.0,0.0,4694.0
2024-11-05,72.0,0.0,5176.0
2024-11-06,72.0,0.0,6278.0
2024-11-07,72.0,0.0,3714.0
2024-11-08,72.0,0.0,4664.0
2024-11-09,72.0,0.0,7490.0
2024-11-10,72.0,0.0,6002.0
2024-11-11,72.0,0.0,15614.0
2024-11-12,72.0,0.0,5820.0
2024-11-13,72.0,0.0,2936.0
2024-11-14,72.0,0.0,17652.0
2024-11-15,72.0,0.0,5140.0
2024-11-16,72.0,0.0,6040.0
2024-11-17,72.0,0.0,7624.0
2024-11-18,72.0,0.0,3758.0
2024-11-19,72.0,0.0,4436.0
2024-11-20,72.0,0.0,4722.0
2024-11-21,72.0,0.0,7016.0
2024-11-22,72.0,0.0,11084.0
2024-11-23,72.0,0.0,15200.0
2024-11-24,72.0,0.0,9564.0
2024-11-25,72.0,0.0,21428.0
2024-11-26,72.0,0.0,9518.0
2024-11-27,72.0,0.0,21390.0
2024-11-28,72.0,0.0,9192.0
2024-11-29,72.0,0.0,7832.0
2024-11-30,72.0,0.0,5928.0
2024-12-01,72.0,0.0,7210.0
2024-12-02,72.0,0.0,16376.0
2024-12-03,72.0,0.0,17732.0
2024-12-04,72.0,0.0,15190.0
2024-12-05,72.0,0.0,6510.0
2024-12-06,72.0,0.0,6886.0
2024-12-07,85.0,85.0,3190.0
2024-12-08,78.0,82.0,3386.0
2024-12-09,73.0,79.0,4426.0
2024-12-10,77.0,78.0,5430.0
2024-12-11,75.0,78.0,4966.0
2024-12-12,71.0,77.0,4160.0
2024-12-13,72.0,0.0,6040.0
2024-12-14,72.0,0.0,9032.0
2024-12-15,78.0,75.0,8926.0
2024-12-16,74.0,75.0,3964.0
2024-12-17,77.0,75.0,5220.0
2024-12-18,77.0,75.0,7388.0
2024-12-19,69.0,75.0,6006.0
2024-12-20,70.0,74.0,6748.0
2024-12-21,74.0,74.0,9536.0
2024-12-22,78.0,74.0,4896.0
2024-12-23,71.0,74.0,7700.0
2024-12-24,77.0,74.0,13960.0
2024-12-25,73.0,73.0,7192.0
2024-12-26,78.0,74.0,5942.0
2024-12-27,73.0,75.0,4838.0
2024-12-28,80.0,76.0,7348.0
2024-12-29,72.0,75.0,6638.0
2024-12-30,72.0,0.0,19452.0
2024-12-31,79.0,76.0,10284.0
2025-01-01,75.0,76.0,3752.0
